uid,lat,long,base,duration,outcome,category,color
Caer63161,54.46,-3.21,Caernarfon,154,Complete,Support,"rgb(0,153,169)"
Caer64161,52.83,-3.89,Caernarfon,132,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer65161,53.4,-2.99,Caernarfon,147,Stood Down,Search (Only),"rgb(0,153,169)"
Caer66161,52.83,-3.89,Caernarfon,132,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer67161,53.4,-4.39,Caernarfon,107,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer68161,53.32,-3.74,Caernarfon,70,Stood Down,Search (Only),"rgb(0,153,169)"
Caer69161,52.53,-4.06,Caernarfon,22,Stood Down,Search (Only),"rgb(0,153,169)"
Caer70161,53.29,-3.65,Caernarfon,44,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer71161,52.69,-3.89,Caernarfon,90,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer72161,52.73,-4.05,Caernarfon,143,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer73161,53.07,-4.04,Caernarfon,132,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer75161,53.1,-4.01,Caernarfon,99,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer76161,52.7,-3.9,Caernarfon,84,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer77161,53.03,-3.17,Caernarfon,27,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer78161,52.38,-3.85,Caernarfon,102,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer79161,53.39,-3.23,Caernarfon,110,Complete (Nothing Found),Search (Only),"rgb(0,153,169)"
Caer80161,53.11,-4.0,Caernarfon,100,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer81161,53.31,-4.47,Caernarfon,53,Complete,Support,"rgb(0,153,169)"
Caer82161,53.07,-4.08,Caernarfon,122,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer83161,51.91,-5.29,Caernarfon,153,Complete (Nothing Found),Search (Only),"rgb(0,153,169)"
Caer84161,53.33,-4.37,Caernarfon,46,Stood Down,Search (Only),"rgb(0,153,169)"
Caer85161,52.93,-3.98,Caernarfon,185,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer86161,52.88,-3.62,Caernarfon,95,Complete (Nothing Found),Search (Only),"rgb(0,153,169)"
Caer87161,52.82,-4.49,Caernarfon,10,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer88161,53.0,-3.94,Caernarfon,108,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer89161,53.36,-2.94,Caernarfon,42,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer90161,53.35,-3.34,Caernarfon,49,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer91161,53.06,-4.07,Caernarfon,87,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer92161,53.12,-4.0,Caernarfon,78,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer93161,53.48,-4.35,Caernarfon,128,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer94161,55.0,-1.6,Caernarfon,330,Complete,Pre-arranged Transfer,"rgb(0,153,169)"
Caer95161,53.06,-4.08,Caernarfon,295,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer96161,53.76,-3.94,Caernarfon,97,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer97161,52.65,-1.18,Caernarfon,158,Complete,Pre-arranged Transfer,"rgb(0,153,169)"
Caer98161,52.43,-4.08,Caernarfon,35,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer99161,54.02,-2.89,Caernarfon,4,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer100161,53.07,-4.07,Caernarfon,69,Stood Down,Support,"rgb(0,153,169)"
Caer101161,53.07,-4.04,Caernarfon,90,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer102161,54.22,-2.92,Caernarfon,3,Stood Down,Search (Only),"rgb(0,153,169)"
Caer103161,54.12,-2.8,Caernarfon,160,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer104161,51.99,-4.94,Caernarfon,155,Complete,Support,"rgb(0,153,169)"
Caer105161,53.23,-4.52,Caernarfon,39,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer106161,52.91,-4.83,Caernarfon,96,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer107161,53.07,-4.67,Caernarfon,91,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer108161,54.44,-2.59,Caernarfon,61,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer109161,53.01,-3.29,Caernarfon,78,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer110161,52.82,-3.41,Caernarfon,75,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer111161,53.1,-4.16,Caernarfon,6,Re-tasked,Rescue/ Recovery,"rgb(0,153,169)"
Caer112161,53.39,-5.21,Caernarfon,13,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer113161,53.16,-4.16,Caernarfon,63,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer114161,53.12,-4.0,Caernarfon,142,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer115161,52.86,-4.12,Caernarfon,118,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer116161,52.63,-4.05,Caernarfon,20,Stood Down,Search (Only),"rgb(0,153,169)"
Caer117161,53.08,-4.35,Caernarfon,16,Stood Down,Search (Only),"rgb(0,153,169)"
Caer118161,53.36,-4.6,Caernarfon,81,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer119161,52.77,-4.1,Caernarfon,112,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer120161,53.08,-4.1,Caernarfon,63,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer121161,53.05,-4.68,Caernarfon,85,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer122161,54.15,-3.39,Caernarfon,97,Complete (Nothing Found),Search (Only),"rgb(0,153,169)"
Caer123161,52.63,-4.12,Caernarfon,8,Re-tasked,Rescue/ Recovery,"rgb(0,153,169)"
Caer124161,53.0,-2.21,Caernarfon,201,Complete,Pre-arranged Transfer,"rgb(0,153,169)"
Caer125161,53.28,-3.82,Caernarfon,44,Stood Down,Support,"rgb(0,153,169)"
Caer126161,54.07,-4.07,Caernarfon,167,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer127161,53.6,-3.56,Caernarfon,120,Complete,Search (Only),"rgb(0,153,169)"
Caer128161,53.28,-3.83,Caernarfon,60,Stood Down,Rescue/ Recovery,"rgb(0,153,169)"
Caer129161,53.07,-4.04,Caernarfon,55,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer130161,52.98,-4.18,Caernarfon,38,Stood Down,Search (Only),"rgb(0,153,169)"
Caer131161,52.77,-4.79,Caernarfon,120,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer132161,52.82,-4.14,Caernarfon,99,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer133161,53.06,-4.1,Caernarfon,119,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer134161,53.1,-4.02,Caernarfon,159,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer135161,52.42,-4.09,Caernarfon,20,Stood Down,Search (Only),"rgb(0,153,169)"
Caer136161,54.54,-3.29,Caernarfon,193,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer137161,54.37,-3.14,Caernarfon,177,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer138161,53.54,-4.05,Caernarfon,78,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer139161,53.38,-4.07,Caernarfon,24,Stood Down,Search (Only),"rgb(0,153,169)"
Caer140161,53.12,-3.99,Caernarfon,7,Re-tasked,Rescue/ Recovery,"rgb(0,153,169)"
Caer141161,52.81,-4.14,Caernarfon,71,Complete,Support,"rgb(0,153,169)"
Caer142161,52.9,-4.39,Caernarfon,107,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer143161,53.12,-4.0,Caernarfon,81,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer144161,53.4,-4.97,Caernarfon,147,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer145161,53.07,-4.05,Caernarfon,93,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Caer146161,53.21,-4.5,Caernarfon,108,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Humb43161,53.71,-0.45,Humberside,27,Complete (Nothing Found),Search (Only),"rgb(98,167,15)"
Humb44161,53.39,-1.89,Humberside,124,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb45161,53.58,-0.34,Humberside,139,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb46161,54.96,-1.62,Humberside,31,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb47161,52.67,0.36,Humberside,136,Complete (Nothing Found),Search (Only),"rgb(98,167,15)"
Humb48161,53.36,1.0,Humberside,88,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb49161,54.69,-1.18,Humberside,34,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb50161,54.08,-0.18,Humberside,101,Complete (Nothing Found),Search (Only),"rgb(98,167,15)"
Humb51161,53.99,-1.36,Humberside,10,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb52161,54.3,-0.41,Humberside,45,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb53161,53.4,-1.87,Humberside,128,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb55161,53.19,0.35,Humberside,80,Stood Down,Search (Only),"rgb(98,167,15)"
Humb56161,53.81,-1.56,Humberside,215,Complete,Pre-arranged Transfer,"rgb(98,167,15)"
Humb58161,54.39,-0.9,Humberside,140,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb59161,52.98,0.0,Humberside,22,Stood Down,Search (Only),"rgb(98,167,15)"
Humb60161,53.54,-0.49,Humberside,61,Complete (Nothing Found),Search (Only),"rgb(98,167,15)"
Humb61161,53.41,-0.39,Humberside,191,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb62161,53.59,-0.03,Humberside,89,Complete,Support,"rgb(98,167,15)"
Humb63161,54.72,-1.23,Humberside,22,Stood Down,Search (Only),"rgb(98,167,15)"
Humb64161,53.74,-0.34,Humberside,55,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb65161,52.76,1.65,Humberside,137,Complete,Support,"rgb(98,167,15)"
Humb66161,53.74,-0.33,Humberside,35,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb67161,53.25,-1.36,Humberside,150,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb68161,53.55,0.25,Humberside,112,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb69161,52.69,2.44,Humberside,404,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb70161,53.54,0.0,Humberside,37,Complete,Support,"rgb(98,167,15)"
Humb71161,53.47,-1.74,Humberside,36,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb72161,53.06,-4.5,Humberside,236,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb73161,53.23,-0.83,Humberside,46,Complete (Nothing Found),Search (Only),"rgb(98,167,15)"
Humb74161,53.46,1.32,Humberside,93,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb75161,53.21,0.02,Humberside,162,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb76161,53.62,-0.16,Humberside,130,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb77161,53.39,-1.75,Humberside,4,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb78161,52.82,0.23,Humberside,136,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb79161,54.13,-0.1,Humberside,79,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb80161,53.15,0.35,Humberside,66,Complete,Search (Only),"rgb(98,167,15)"
Humb81161,55.18,-0.12,Humberside,65,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb82161,54.32,-0.42,Humberside,96,Complete (Nothing Found),Search (Only),"rgb(98,167,15)"
Humb83161,54.44,2.4,Humberside,132,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb84161,54.98,-1.62,Humberside,361,Complete,Pre-arranged Transfer,"rgb(98,167,15)"
Humb85161,54.59,-0.96,Humberside,140,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb87161,53.75,-1.6,Humberside,133,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb88161,54.25,-0.36,Humberside,101,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb89161,54.1,2.37,Humberside,195,Complete,Search (Only),"rgb(98,167,15)"
Humb90161,53.95,-0.88,Humberside,60,Stood Down,Search (Only),"rgb(98,167,15)"
Humb92161,53.74,-0.94,Humberside,2,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb93161,53.97,1.0,Humberside,88,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb94161,52.89,1.41,Humberside,149,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb96161,52.48,2.18,Humberside,186,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Sumb26161,61.66,1.36,Sumburgh,170,Complete,Rescue/ Recovery,"rgb(0,130,202)"
Humb98161,55.61,-1.7,Humberside,66,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Sumb29161,59.53,1.72,Sumburgh,325,Complete,Rescue/ Recovery,"rgb(0,130,202)"
Caer74161,54.08,-3.09,Caernarfon,130,Complete,Rescue/ Recovery,"rgb(0,153,169)"
Humb54161,53.52,2.23,Humberside,123,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb57161,53.32,2.57,Humberside,175,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb103161,53.88,1.21,Humberside,130,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb104161,54.13,0.12,Humberside,92,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb105161,53.58,0.07,Humberside,70,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb106161,53.9,0.5,Humberside,151,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Humb107161,54.0,-0.21,Humberside,34,Stood Down,Rescue/ Recovery,"rgb(98,167,15)"
Humb108161,53.2,-0.35,Humberside,109,Stood Down,Search (Only),"rgb(98,167,15)"
Humb109161,53.22,-1.2,Humberside,135,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Sumb31161,58.45,-0.25,Sumburgh,255,Complete,Rescue/ Recovery,"rgb(0,130,202)"
Humb111161,54.95,-1.34,Humberside,41,Complete,Support,"rgb(98,167,15)"
Humb112161,54.06,-0.21,Humberside,29,Stood Down,Search (Only),"rgb(98,167,15)"
Inve95161,58.3,-1.74,Inverness,175,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve80161,56.79,-5.02,Inverness,62,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve81161,57.33,-5.0,Inverness,245,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve82161,57.33,-5.0,Inverness,125,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve83161,56.43,-5.11,Inverness,25,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve84161,57.56,-5.46,Inverness,90,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve85161,57.73,-3.93,Inverness,55,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve86161,56.01,-4.59,Inverness,6,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve87161,57.49,-4.23,Inverness,53,Stood Down,Search (Only),"rgb(210,95,21)"
Inve88161,57.42,-1.82,Inverness,165,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve89161,57.08,-2.31,Inverness,35,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve90161,57.59,-5.43,Inverness,97,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve91161,57.33,-5.0,Inverness,105,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve92161,57.67,-2.49,Inverness,128,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve93161,56.47,-3.04,Inverness,90,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve94161,56.45,-3.0,Inverness,90,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Sumb35161,60.95,0.94,Sumburgh,130,Complete,Rescue/ Recovery,"rgb(0,130,202)"
Inve96161,57.29,-6.18,Inverness,76,Stood Down,Search (Only),"rgb(210,95,21)"
Inve97161,58.48,-4.43,Inverness,191,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve98161,56.86,-4.29,Inverness,80,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve99161,57.68,-2.27,Inverness,120,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve100161,57.04,-5.22,Inverness,140,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve101161,58.45,-2.27,Inverness,177,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve102161,57.22,-4.62,Inverness,90,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve103161,57.31,-5.0,Inverness,130,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve104161,57.33,-5.0,Inverness,85,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve105161,58.46,-3.92,Inverness,150,Complete,Pre-arranged Transfer,"rgb(210,95,21)"
Inve106161,56.68,-5.11,Inverness,185,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve107161,56.62,-5.09,Inverness,179,Aborted-Technical,Support,"rgb(210,95,21)"
Inve108161,56.78,-5.17,Inverness,25,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve109161,56.78,-5.57,Inverness,190,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve110161,57.05,-5.77,Inverness,159,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Sumb36161,60.06,-3.98,Sumburgh,140,Complete,Rescue/ Recovery,"rgb(0,130,202)"
Inve112161,56.8,-5.54,Inverness,325,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve113161,57.43,-6.78,Inverness,130,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve114161,57.01,1.84,Inverness,250,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve115161,56.51,-5.3,Inverness,215,Stood Down,Search (Only),"rgb(210,95,21)"
Inve116161,57.54,-4.04,Inverness,63,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve117161,56.67,-4.38,Inverness,100,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve118161,57.5,-1.83,Inverness,45,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve119161,57.63,-1.68,Inverness,155,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve120161,58.82,-3.17,Inverness,150,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Sumb37161,59.54,-1.63,Sumburgh,90,Complete,Rescue/ Recovery,"rgb(0,130,202)"
Inve122161,57.12,-2.97,Inverness,75,Stood Down,Search (Only),"rgb(210,95,21)"
Inve123161,58.82,-3.17,Inverness,150,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve124161,57.13,-5.8,Inverness,20,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve125161,58.47,1.25,Inverness,207,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve126161,58.64,-4.91,Inverness,170,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve127161,55.83,-5.06,Inverness,167,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve128161,57.08,-4.26,Inverness,43,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve129161,57.53,-5.54,Inverness,90,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve130161,56.89,-5.75,Inverness,40,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve131161,56.97,-5.31,Inverness,39,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve132161,57.21,-4.6,Inverness,76,Stood Down,Search (Only),"rgb(210,95,21)"
Inve133161,56.76,-4.69,Inverness,300,Complete,Search (Only),"rgb(210,95,21)"
Inve134161,57.28,-6.17,Inverness,188,Aborted-Weather,Rescue/ Recovery,"rgb(210,95,21)"
Inve135161,57.28,-6.17,Inverness,105,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve136161,57.19,-3.85,Inverness,72,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve137161,57.71,-3.43,Inverness,48,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve138161,58.58,-3.53,Inverness,132,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve139161,58.58,-3.53,Inverness,180,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve140161,57.54,-5.79,Inverness,9,Re-tasked,Rescue/ Recovery,"rgb(210,95,21)"
Inve141161,56.8,-5.04,Inverness,57,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve142161,55.42,-5.6,Inverness,230,Complete,Pre-arranged Transfer,"rgb(210,95,21)"
Inve143161,57.1,-3.68,Inverness,168,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve144161,57.09,-3.7,Inverness,250,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve145161,57.63,-4.1,Inverness,18,Stood Down,Rescue/ Recovery,"rgb(210,95,21)"
Inve146161,56.45,-3.03,Inverness,360,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve147161,58.8,-3.1,Inverness,19,Stood Down,Search (Only),"rgb(210,95,21)"
Inve148161,57.62,-2.42,Inverness,137,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve149161,57.11,-3.58,Inverness,87,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve150161,57.33,-5.0,Inverness,58,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve151161,57.33,-5.0,Inverness,0,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve152161,56.85,-4.68,Inverness,180,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Humb91161,54.25,-0.17,Humberside,9,Complete,Rescue/ Recovery,"rgb(98,167,15)"
Inve154161,57.57,-5.5,Inverness,77,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve155161,57.42,-1.82,Inverness,230,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve156161,57.0,-3.66,Inverness,280,Complete,Search (Only),"rgb(210,95,21)"
Inve157161,57.49,-5.45,Inverness,0,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve158161,56.8,-2.34,Inverness,130,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve159161,56.67,-2.67,Inverness,25,Complete,Search (Only),"rgb(210,95,21)"
Inve160161,57.57,-4.33,Inverness,33,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve161161,57.17,-2.07,Inverness,245,Complete (Nothing Found),Search (Only),"rgb(210,95,21)"
Inve162161,57.44,-5.66,Inverness,285,Stood Down,Support,"rgb(210,95,21)"
Inve163161,56.8,-4.99,Inverness,136,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Inve164161,59.09,-2.83,Inverness,35,Complete,Rescue/ Recovery,"rgb(210,95,21)"
Lee34161,50.59,-1.4,Lee On Solent,88,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee35161,50.7,-1.3,Lee On Solent,67,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee36161,50.9,-1.42,Lee On Solent,25,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee37161,50.71,-1.56,Lee On Solent,107,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee38161,50.72,-0.13,Lee On Solent,139,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee39161,52.7,-1.29,Lee On Solent,57,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee40161,51.82,-1.24,Lee On Solent,13,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee41161,50.65,-1.1,Lee On Solent,26,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee42161,50.71,-1.3,Lee On Solent,64,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee43161,50.76,-1.23,Lee On Solent,43,Stood Down,Search (Only),"rgb(0,149,59)"
Lee44161,49.2,-2.14,Lee On Solent,204,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee45161,50.7,-1.3,Lee On Solent,45,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee46161,50.18,-1.59,Lee On Solent,138,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee47161,50.79,-1.91,Lee On Solent,92,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee48161,50.71,-1.3,Lee On Solent,106,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee49161,50.0,-2.69,Lee On Solent,163,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee50161,50.66,-1.11,Lee On Solent,27,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee51161,51.75,-1.58,Lee On Solent,24,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee52161,50.71,-1.55,Lee On Solent,24,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee53161,50.82,-1.3,Lee On Solent,15,Stood Down,Rescue/ Recovery,"rgb(0,149,59)"
Lee54161,50.71,-1.76,Lee On Solent,94,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee55161,50.8,-0.25,Lee On Solent,71,Stood Down,Search (Only),"rgb(0,149,59)"
Lee56161,50.71,-1.3,Lee On Solent,47,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee57161,50.71,-1.3,Lee On Solent,58,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee58161,50.71,-1.3,Lee On Solent,84,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee59161,50.71,-1.3,Lee On Solent,52,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee60161,50.62,-2.25,Lee On Solent,166,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee61161,50.63,-1.12,Lee On Solent,116,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee62161,50.72,-1.31,Lee On Solent,80,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee63161,50.7,-1.28,Lee On Solent,65,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee64161,50.67,-1.07,Lee On Solent,106,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee65161,50.35,-0.16,Lee On Solent,191,Complete (Nothing Found),Search (Only),"rgb(0,149,59)"
Lee66161,50.7,-1.28,Lee On Solent,56,Stood Down,Search (Only),"rgb(0,149,59)"
Lee67161,50.79,-0.51,Lee On Solent,72,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee68161,50.83,-0.32,Lee On Solent,76,Stood Down,Search (Only),"rgb(0,149,59)"
Lee69161,50.7,-1.28,Lee On Solent,56,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
Lee70161,50.83,-0.2,Lee On Solent,141,Complete,Rescue/ Recovery,"rgb(0,149,59)"
Lee71161,50.6,-1.95,Lee On Solent,123,Complete (Nothing Found),Search (Only),"rgb(0,149,59)"
Lee72161,50.6,-1.95,Lee On Solent,137,Complete (Nothing Found),Search (Only),"rgb(0,149,59)"
Lee73161,50.7,-1.29,Lee On Solent,72,Complete,Pre-arranged Transfer,"rgb(0,149,59)"
